t_s,dt_s,ax_dynamic,az_dynamic,accel_xz_magnitude
0.000000,0.000000,-0.011619,0.017637,0.021120
0.009711,0.009711,0.035068,-0.001517,0.035101
0.019610,0.009899,-0.011619,0.016440,0.020131
0.029408,0.009798,-0.009225,0.057141,0.057881
0.039601,0.010193,0.024294,0.002075,0.024383
0.049517,0.009916,0.021900,0.030805,0.037796
0.059370,0.009853,0.011126,0.003272,0.011597
0.069402,0.010032,-0.018801,-0.019473,0.027068
0.079364,0.009962,-0.003239,0.015243,0.015583
0.089583,0.010219,-0.016407,-0.008699,0.018571
0.099504,0.009922,0.008732,0.015243,0.017567
0.109483,0.009978,0.013520,0.051156,0.052912
0.119478,0.009995,0.017112,0.042776,0.046072
0.129650,0.010173,0.014717,-0.002714,0.014966
0.139399,0.009749,0.014717,-0.012291,0.019175
0.149381,0.009982,0.012323,-0.013488,0.018270
0.159331,0.009950,-0.012816,0.015243,0.019914
0.169633,0.010302,-0.039152,-0.014685,0.041815
0.179515,0.009882,-0.028378,-0.024262,0.037336
0.189470,0.009955,0.023097,-0.039824,0.046037
0.199536,0.010066,0.039857,-0.036233,0.053864
0.209318,0.009782,-0.042743,-0.036233,0.056034
0.219340,0.010022,0.008732,0.006863,0.011106
0.229334,0.009994,0.008732,0.051156,0.051896
0.239290,0.009956,0.001549,-0.032641,0.032678
0.249304,0.010014,-0.003239,0.018834,0.019110
0.259369,0.010066,0.021900,0.039185,0.044889
0.269356,0.009986,0.005141,0.048761,0.049032
0.279356,0.010000,-0.014013,0.011651,0.018224
0.289522,0.010166,-0.002042,0.027214,0.027290
0.299425,0.009903,0.003944,-0.011094,0.011774
0.309386,0.009961,0.007535,-0.021867,0.023129
0.319328,0.009942,-0.022393,0.002075,0.022489
0.329397,0.010069,0.005141,0.018834,0.019523
0.339339,0.009942,0.014717,-0.035036,0.038001
0.349362,0.010023,-0.015210,0.022425,0.027097
0.359358,0.009996,0.014717,-0.001517,0.014795
0.369341,0.009983,0.037462,0.008060,0.038320
0.379581,0.010239,0.025491,-0.007502,0.026572
0.389683,0.010102,0.001549,0.003272,0.003620
0.399434,0.009751,-0.031970,0.012848,0.034455
0.409421,0.009988,0.025491,-0.002714,0.025635
0.419277,0.009856,0.005141,-0.003911,0.006459
0.429374,0.010097,0.015915,0.027214,0.031525
0.439322,0.009948,0.012323,0.045170,0.046821
0.449392,0.010070,0.009929,0.020031,0.022357
0.459320,0.009928,-0.022393,-0.008699,0.024023
0.469527,0.010207,-0.014013,-0.017079,0.022092
0.479365,0.009838,0.000352,0.005666,0.005677
0.489401,0.010037,-0.012816,0.034396,0.036706
0.499379,0.009978,0.027886,-0.031444,0.042028
0.509337,0.009958,0.018309,0.032002,0.036869
0.519365,0.010028,0.024294,-0.023065,0.033499
0.529438,0.010073,0.027886,-0.011094,0.030011
0.539382,0.009944,0.008732,0.014046,0.016539
0.549410,0.010028,-0.014013,-0.018276,0.023030
0.559368,0.009958,-0.003239,-0.002714,0.004226
0.569447,0.010078,0.001549,0.035593,0.035627
0.579372,0.009926,-0.017604,-0.006305,0.018699
0.589632,0.010260,-0.015210,0.039185,0.042033
0.599455,0.009822,-0.023590,-0.003911,0.023912
0.609611,0.010156,-0.015210,-0.017079,0.022870
0.619429,0.009819,0.003944,-0.029050,0.029317
0.629600,0.010170,0.017112,-0.045809,0.048901
0.639446,0.009846,0.002746,-0.018276,0.018481
0.649625,0.010179,0.015915,-0.006305,0.017118
0.659508,0.009884,0.018309,-0.050598,0.053809
0.669435,0.009927,0.030280,-0.031444,0.043653
0.679386,0.009951,-0.009225,0.023622,0.025360
0.689434,0.010048,-0.005633,0.008060,0.009834
0.700079,0.010645,0.007535,0.028411,0.029393
0.709363,0.009284,0.036265,0.023622,0.043280
0.719372,0.010009,-0.010422,0.033199,0.034796
0.729595,0.010223,-0.018801,0.017637,0.025779
0.739353,0.009758,-0.018801,0.009257,0.020957
0.749330,0.009977,0.035068,0.021228,0.040993
0.759332,0.010002,0.027886,0.015243,0.031780
0.769521,0.010189,-0.000845,0.006863,0.006915
0.779345,0.009824,-0.006830,-0.017079,0.018394
0.789371,0.010026,0.011126,0.023622,0.026111
0.799369,0.009997,-0.009225,-0.001517,0.009348
0.809533,0.010165,-0.006830,-0.001517,0.006997
0.819348,0.009815,-0.000845,-0.011094,0.011126
0.829411,0.010063,-0.010422,-0.048204,0.049317
0.839341,0.009930,0.006338,-0.045809,0.046246
0.849405,0.010064,0.009929,0.004469,0.010888
0.859354,0.009949,0.003944,0.008060,0.008973
0.869412,0.010058,0.007535,-0.018276,0.019768
0.879352,0.009939,-0.017604,0.002075,0.017726
0.889390,0.010038,-0.017604,-0.042218,0.045742
0.899412,0.010022,0.025491,0.011651,0.028028
0.909379,0.009967,-0.010422,-0.063766,0.064612
0.919330,0.009951,0.030280,-0.019473,0.036001
0.929415,0.010085,0.008732,-0.051795,0.052526
0.939355,0.009940,-0.006830,0.005666,0.008874
0.949393,0.010038,0.006338,0.005666,0.008501
0.959342,0.009949,0.014717,0.008060,0.016780
0.969467,0.010125,-0.002042,0.009257,0.009480
0.979390,0.009923,0.014717,-0.015882,0.021653
0.989400,0.010010,0.005141,0.036790,0.037148
0.999356,0.009956,0.013520,0.026017,0.029320
1.009637,0.010281,-0.010422,-0.005108,0.011606
1.019421,0.009784,0.008732,-0.029050,0.030334
1.029569,0.010147,0.008732,0.051156,0.051896
1.039280,0.009711,0.000352,-0.003911,0.003927
1.049259,0.009979,-0.006830,-0.003911,0.007871
1.059448,0.010189,-0.003239,0.028411,0.028595
1.069655,0.010206,-0.010422,0.041579,0.042865
1.079397,0.009742,-0.012816,-0.026656,0.029577
1.089338,0.009941,-0.023590,-0.006305,0.024418
1.099351,0.010013,0.001549,-0.023065,0.023117
1.109610,0.010258,0.015915,-0.023065,0.028022
1.119348,0.009738,-0.010422,0.010454,0.014762
1.129438,0.010090,-0.010422,0.005666,0.011862
1.139511,0.010073,0.002746,-0.035036,0.035143
1.149867,0.010356,0.017112,-0.030247,0.034752
1.159543,0.009676,0.019506,-0.014685,0.024416
1.169420,0.009876,-0.048729,-0.021867,0.053411
1.179409,0.009989,-0.015210,0.048761,0.051079
1.189552,0.010143,-0.022393,0.029608,0.037122
1.199410,0.009858,-0.019999,-0.019473,0.027913
1.209987,0.010577,-0.025984,-0.009896,0.027805
1.219426,0.009439,-0.022393,-0.006305,0.023263
1.229470,0.010044,-0.018801,0.017637,0.025779
1.239376,0.009906,-0.010422,0.000877,0.010459
1.249477,0.010102,0.013520,0.026017,0.029320
1.259939,0.010462,-0.021196,-0.019473,0.028783
1.269418,0.009479,0.006338,-0.020670,0.021620
1.279896,0.010478,-0.006830,0.014046,0.015618
1.289351,0.009454,0.015915,0.018834,0.024657
1.299383,0.010032,0.000352,-0.017079,0.017083
1.309473,0.010090,-0.000845,-0.014685,0.014709
1.319452,0.009980,0.017112,-0.008699,0.019196
1.329509,0.010057,0.003944,-0.013488,0.014052
1.339594,0.010085,-0.025984,0.040382,0.048019
1.349419,0.009825,0.001549,-0.012291,0.012388
1.359355,0.009935,-0.011619,-0.048204,0.049584
1.369408,0.010053,-0.041546,-0.029050,0.050695
1.379388,0.009980,-0.012816,0.008060,0.015140
1.389340,0.009952,-0.003239,-0.008699,0.009283
1.399348,0.010009,-0.003239,0.014046,0.014414
1.409348,0.010000,0.011126,0.034396,0.036151
1.419360,0.010012,-0.009225,-0.019473,0.021548
1.429507,0.010147,-0.030772,-0.018276,0.035791
1.439396,0.009889,0.011126,-0.045809,0.047141
1.449329,0.009933,0.014717,0.018834,0.023902
1.459483,0.010154,-0.012816,0.000877,0.012846
1.469404,0.009922,0.019506,-0.001517,0.019565
1.479366,0.009962,0.013520,0.009257,0.016386
1.489440,0.010074,0.012323,-0.003911,0.012929
1.499344,0.009903,0.003944,-0.043415,0.043594
1.509386,0.010042,-0.002042,0.032002,0.032067
1.519340,0.009954,0.001549,-0.006305,0.006493
1.529615,0.010275,0.015915,0.009257,0.018411
1.539375,0.009760,0.006338,0.022425,0.023304
1.549433,0.010057,0.007535,0.008060,0.011033
1.559351,0.009919,0.008732,0.037988,0.038978
1.569689,0.010337,-0.010422,-0.019473,0.022087
1.579470,0.009781,-0.004436,-0.009896,0.010845
1.590637,0.011167,-0.024787,0.011651,0.027389
1.600162,0.009525,-0.015210,0.024819,0.029109
1.609468,0.009306,-0.011619,0.043973,0.045482
1.619357,0.009889,-0.030772,0.072703,0.078948
1.629435,0.010078,-0.040349,0.042776,0.058803
1.639336,0.009901,0.024294,0.000877,0.024310
1.649439,0.010103,-0.014013,0.030805,0.033842
1.659332,0.009893,-0.018801,0.002075,0.018916
1.669630,0.010298,0.018309,0.005666,0.019165
1.679396,0.009766,-0.018801,0.012848,0.022772
1.689347,0.009951,0.012323,0.054747,0.056117
1.699414,0.010067,-0.054714,-0.005108,0.054952
1.709326,0.009912,0.026688,-0.033838,0.043097
1.719316,0.009990,-0.002042,0.006863,0.007160
1.729396,0.010080,0.002746,-0.019473,0.019666
1.739318,0.009922,0.013520,-0.047007,0.048912
1.749314,0.009996,-0.002042,-0.001517,0.002544
1.759317,0.010003,0.000352,0.023622,0.023625
1.769472,0.010155,0.001549,-0.026656,0.026701
1.779325,0.009853,-0.022393,0.008060,0.023799
1.789330,0.010005,-0.002042,-0.002714,0.003396
1.799353,0.010023,-0.004436,-0.006305,0.007709
1.809340,0.009987,0.006338,-0.019473,0.020479
1.819314,0.009974,0.015915,0.032002,0.035741
1.829368,0.010054,-0.012816,0.027214,0.030080
1.839313,0.009945,-0.004436,-0.009896,0.010845
1.849329,0.010015,0.002746,-0.075737,0.075787
1.859332,0.010004,-0.000845,0.006863,0.006915
1.869481,0.010149,0.047039,0.020031,0.051127
1.879350,0.009870,-0.009225,0.035593,0.036769
1.889322,0.009972,0.002746,0.020031,0.020218
1.899373,0.010051,0.019506,-0.000320,0.019508
1.909317,0.009944,0.011126,-0.024262,0.026691
1.919341,0.010024,-0.021196,-0.029050,0.035961
1.929381,0.010040,-0.000845,-0.043415,0.043424
1.939336,0.009955,0.001549,0.002075,0.002589
1.949346,0.010010,0.007535,0.003272,0.008214
1.959380,0.010034,0.000352,0.005666,0.005677
1.969413,0.010033,0.002746,0.020031,0.020218
1.979351,0.009938,0.013520,-0.050598,0.052373
1.989342,0.009991,0.006338,-0.011094,0.012776
1.999327,0.009985,-0.028378,0.010454,0.030243
2.009321,0.009994,-0.003239,-0.037430,0.037570
2.019299,0.009978,-0.022393,-0.006305,0.023263
2.029313,0.010014,-0.039152,-0.012291,0.041036
2.039376,0.010064,-0.009225,-0.002714,0.009616
2.049368,0.009992,0.029083,0.037988,0.047842
2.059320,0.009952,-0.002042,0.015243,0.015379
2.069427,0.010107,-0.009225,-0.012291,0.015367
2.079336,0.009909,-0.004436,-0.011094,0.011948
2.089313,0.009977,0.021900,-0.001517,0.021952
2.099387,0.010075,0.001549,-0.039824,0.039854
2.109571,0.010183,0.026688,-0.012291,0.029383
2.119344,0.009773,-0.003239,-0.012291,0.012710
2.129390,0.010047,0.018309,0.012848,0.022367
2.139331,0.009941,-0.008028,0.011651,0.014149
2.149336,0.010005,0.009929,0.009257,0.013575
2.159335,0.010000,-0.002042,-0.064963,0.064995
2.169524,0.010189,0.026688,-0.020670,0.033757
2.179350,0.009825,-0.005633,0.003272,0.006514
2.189343,0.009993,-0.000845,0.014046,0.014071
2.199347,0.010004,-0.000845,-0.008699,0.008740
2.210576,0.011229,-0.012816,0.033199,0.035587
2.220226,0.009650,-0.011619,0.035593,0.037442
2.229560,0.009334,0.019506,-0.017079,0.025926
2.239322,0.009762,-0.021196,0.027214,0.034494
2.249349,0.010027,-0.017604,0.011651,0.021111
2.259303,0.009954,0.014717,-0.000320,0.014721
2.269399,0.010097,-0.004436,0.014046,0.014729
2.279321,0.009922,-0.004436,0.010454,0.011357
2.289317,0.009996,-0.005633,0.010454,0.011875
2.299354,0.010037,0.023097,-0.001517,0.023147
2.309394,0.010040,-0.016407,-0.038627,0.041967
2.319338,0.009944,0.012323,-0.003911,0.012929
2.329330,0.009992,-0.014013,-0.001517,0.014095
2.339300,0.009970,-0.019999,-0.011094,0.022869
2.349319,0.010019,-0.022393,0.054747,0.059150
2.359319,0.010000,-0.006830,-0.033838,0.034521
2.369413,0.010093,0.021900,0.026017,0.034007
2.379351,0.009938,0.017112,-0.041021,0.044447
2.389328,0.009977,0.005141,-0.029050,0.029501
2.399327,0.009999,-0.016407,-0.002714,0.016630
2.409313,0.009986,-0.004436,-0.020670,0.021141
2.419301,0.009988,-0.009225,-0.015882,0.018367
2.429340,0.010039,-0.010422,-0.039824,0.041165
2.439328,0.009989,-0.014013,0.035593,0.038252
2.449340,0.010011,0.014717,0.011651,0.018771
2.459322,0.009982,-0.002042,0.020031,0.020135
2.469402,0.010080,0.008732,-0.021867,0.023546
2.479338,0.009936,-0.023590,0.040382,0.046767
2.489319,0.009982,0.006338,-0.012291,0.013828
2.499316,0.009996,-0.017604,0.024819,0.030429
2.509322,0.010007,-0.028378,-0.013488,0.031420
2.519324,0.010001,0.024294,-0.003911,0.024607
2.529324,0.010000,-0.011619,0.027214,0.029590
2.539324,0.009999,-0.021196,-0.013488,0.025123
2.549314,0.009991,0.001549,0.024819,0.024868
2.559322,0.010007,-0.000845,0.003272,0.003379
2.569402,0.010080,-0.000845,-0.013488,0.013514
2.579350,0.009948,-0.014013,-0.026656,0.030115
2.589314,0.009964,0.006338,-0.007502,0.009821
