t_s,dt_s,ax_dynamic,vel_x,az_dynamic,accel_xz_magnitude,cur_left_a,cur_right_a,cur_total_a
0.000000,0.000000,0.001340,0.000000,0.006240,0.006382,0.0000,0.0000,0.0000
0.010119,0.010119,0.007326,0.000074,0.028985,0.029896,0.0000,0.0000,0.0000
0.019928,0.009809,0.001340,0.000087,-0.051221,0.051239,0.0000,0.0000,0.0000
0.030022,0.010094,-0.003448,0.000052,0.006240,0.007129,0.0000,0.0000,0.0000
0.040045,0.010022,0.028874,0.000342,-0.002140,0.028953,0.0000,0.0000,0.0000
0.050136,0.010091,0.003734,0.000380,-0.042841,0.043004,0.0000,0.0000,0.0000
0.060164,0.010028,0.008523,0.000465,0.024196,0.025653,0.0000,0.0000,0.0000
0.070047,0.009884,0.006129,0.000526,0.019408,0.020353,0.0000,0.0000,0.0000
0.079967,0.009920,0.006129,0.000586,-0.018899,0.019868,0.0000,0.0000,0.0000
0.090037,0.010069,-0.047741,0.000106,0.000254,0.047742,0.0000,0.0000,0.0000
0.099931,0.009894,0.006129,0.000166,0.025393,0.026122,0.0000,0.0000,0.0000
0.110042,0.010112,0.012114,0.000289,0.005043,0.013122,0.0000,0.0000,0.0000
0.120061,0.010019,-0.005842,0.000230,0.001451,0.006020,0.0000,0.0000,0.0000
0.129971,0.009910,0.007326,0.000303,-0.008125,0.010940,0.0000,0.0000,0.0000
0.139930,0.009959,-0.008237,0.000221,0.015817,0.017833,0.0000,0.0000,0.0000
0.150180,0.010250,-0.019011,0.000026,0.001451,0.019066,0.0000,0.0000,0.0000
0.160008,0.009829,0.009720,0.000121,-0.005731,0.011284,0.0000,0.0000,0.0000
0.170072,0.010063,-0.013025,-0.000010,0.080460,0.081507,0.0000,0.0000,0.0000
0.179938,0.009866,0.013311,0.000122,-0.028476,0.031434,0.0000,0.0000,0.0000
0.190065,0.010127,0.020494,0.000329,0.024196,0.031709,0.0000,0.0000,0.0000
0.200054,0.009990,0.001340,0.000343,0.033773,0.033800,0.0000,0.0000,0.0000
0.210066,0.010011,-0.020208,0.000140,-0.015308,0.025351,0.0000,0.0000,0.0000
0.219987,0.009922,0.015705,0.000296,0.022999,0.027850,0.0000,0.0000,0.0000
0.230058,0.010071,0.006129,0.000358,-0.002140,0.006491,0.0000,0.0000,0.0000
0.240044,0.009985,0.001340,0.000371,-0.030870,0.030899,0.0000,0.0000,0.0000
0.250521,0.010478,0.000143,0.000373,-0.023688,0.023688,0.0000,0.0000,0.0000
0.259983,0.009462,0.003734,0.000408,0.025393,0.025667,0.0000,0.0000,0.0000
0.269977,0.009994,0.003734,0.000445,-0.003337,0.005008,0.0000,0.0000,0.0000
0.279918,0.009941,0.013311,0.000578,-0.029673,0.032522,0.0000,0.0000,0.0000
0.289964,0.010046,0.016903,0.000748,-0.000943,0.016929,0.0000,0.0000,0.0000
0.299922,0.009958,0.018100,0.000928,0.002648,0.018292,0.0000,0.0000,0.0000
0.309984,0.010062,-0.002251,0.000905,0.017014,0.017162,0.0000,0.0000,0.0000
0.319907,0.009923,-0.001054,0.000895,0.036167,0.036183,0.0000,0.0000,0.0000
0.329973,0.010066,-0.005842,0.000836,-0.009323,0.011002,0.0000,0.0000,0.0000
0.339924,0.009951,-0.013025,0.000706,0.003846,0.013581,0.0000,0.0000,0.0000
0.349956,0.010033,-0.040558,0.000299,0.012225,0.042361,0.0000,0.0000,0.0000
0.359900,0.009943,-0.027390,0.000027,-0.009323,0.028933,0.0000,0.0000,0.0000
0.369967,0.010067,-0.024996,-0.000225,-0.000943,0.025014,0.0000,0.0000,0.0000
0.379891,0.009924,0.036056,0.000133,0.009831,0.037372,0.0000,0.0000,0.0000
0.389959,0.010068,-0.002251,0.000111,0.017014,0.017162,0.0000,0.0000,0.0000
0.399904,0.009945,-0.002251,0.000088,0.007437,0.007770,0.0000,0.0000,0.0000
0.409936,0.010032,0.003734,0.000126,0.031379,0.031600,0.0000,0.0000,0.0000
