t_s,dt_s,az_raw,az_dynamic,vel_z,disp_z
0.000000,0.000000,9.670181,-0.004822,0.000000,0.000000
0.009897,0.009897,9.702502,0.027499,0.000272,0.000003
0.019915,0.010018,9.685743,0.010740,0.000380,0.000006
0.029840,0.009925,9.710882,0.035879,0.000736,0.000014
0.039898,0.010059,9.690531,0.015528,0.000892,0.000023
0.049830,0.009932,9.629479,-0.045524,0.000440,0.000027
0.059911,0.010081,9.615114,-0.059889,-0.000164,0.000025
0.069854,0.009943,9.662998,-0.012005,-0.000283,0.000023
0.079901,0.010047,9.743204,0.068201,0.000402,0.000027
0.089840,0.009940,9.664195,-0.010808,0.000295,0.000030
0.099993,0.010152,9.703699,0.028696,0.000586,0.000036
0.109863,0.009870,9.664195,-0.010808,0.000479,0.000040
0.119876,0.010013,9.667786,-0.007217,0.000407,0.000044
0.129840,0.009964,9.709685,0.034682,0.000753,0.000052
0.139883,0.010043,9.655815,-0.019188,0.000560,0.000058
0.149822,0.009939,9.697714,0.022711,0.000786,0.000065
0.159853,0.010032,9.712079,0.037076,0.001157,0.000077
0.169822,0.009969,9.640253,-0.034750,0.000811,0.000085
0.179880,0.010058,9.686940,0.011937,0.000931,0.000094
0.189907,0.010027,9.672575,-0.002428,0.000907,0.000103
0.199908,0.010001,9.654618,-0.020385,0.000703,0.000111
0.209842,0.009934,9.639056,-0.035947,0.000346,0.000114
0.219871,0.010028,9.686940,0.011937,0.000466,0.000119
0.229827,0.009956,9.655815,-0.019188,0.000275,0.000121
0.239846,0.010019,9.658209,-0.016793,0.000106,0.000122
0.249833,0.009988,9.636662,-0.038341,-0.000277,0.000120
0.259865,0.010032,9.707291,0.032288,0.000047,0.000120
0.269854,0.009989,9.691728,0.016725,0.000214,0.000122
0.279864,0.010010,9.652224,-0.022779,-0.000014,0.000122
0.289867,0.010003,9.702502,0.027499,0.000261,0.000125
0.299896,0.010029,9.682152,0.007149,0.000333,0.000128
0.309862,0.009965,9.659407,-0.015596,0.000178,0.000130
0.319868,0.010006,9.719262,0.044259,0.000620,0.000136
0.329845,0.009978,9.712079,0.037076,0.000990,0.000146
0.339861,0.010016,9.662998,-0.012005,0.000870,0.000155
0.349840,0.009978,9.670181,-0.004822,0.000822,0.000163
0.359855,0.010015,9.645041,-0.029962,0.000522,0.000168
0.369848,0.009993,9.652224,-0.022779,0.000294,0.000171
0.379880,0.010032,9.683349,0.008346,0.000378,0.000175
0.389849,0.009969,9.642647,-0.032356,0.000056,0.000175
0.399881,0.010032,9.671378,-0.003625,0.000019,0.000176
0.409859,0.009979,9.670181,-0.004822,-0.000029,0.000175
0.419869,0.010009,9.664195,-0.010808,-0.000137,0.000174
0.429849,0.009980,9.658209,-0.016793,-0.000305,0.000171
0.439868,0.010019,9.633070,-0.041933,-0.000725,0.000164
0.449832,0.009964,9.652224,-0.022779,-0.000952,0.000154
0.459883,0.010051,9.702502,0.027499,-0.000675,0.000147
0.469827,0.009944,9.673772,-0.001231,-0.000688,0.000140
0.479844,0.010016,9.658209,-0.016793,-0.000856,0.000132
0.489835,0.009991,9.676166,0.001163,-0.000844,0.000123
0.499905,0.010070,9.631873,-0.043130,-0.001279,0.000111
0.509839,0.009933,9.703699,0.028696,-0.000994,0.000101
0.519903,0.010065,9.676166,0.001163,-0.000982,0.000091
0.529841,0.009938,9.654618,-0.020385,-0.001184,0.000079
0.539861,0.010020,9.727641,0.052638,-0.000657,0.000072
0.549841,0.009980,9.672575,-0.002428,-0.000681,0.000066
0.559862,0.010021,9.658209,-0.016793,-0.000850,0.000057
0.569825,0.009962,9.651027,-0.023976,-0.001088,0.000046
0.579857,0.010032,9.707291,0.032288,-0.000764,0.000039
0.589845,0.009988,9.679757,0.004754,-0.000717,0.000032
0.599875,0.010030,9.738415,0.063412,-0.000081,0.000031
0.609836,0.009961,9.708488,0.033485,0.000253,0.000033
0.619859,0.010023,9.712079,0.037076,0.000624,0.000039
0.629827,0.009968,9.671378,-0.003625,0.000588,0.000045
0.639877,0.010051,9.622296,-0.052706,0.000058,0.000046
0.649917,0.010040,9.646238,-0.028764,-0.000230,0.000044
0.659867,0.009950,9.645041,-0.029962,-0.000529,0.000038
0.669832,0.009965,9.657012,-0.017991,-0.000708,0.000031
0.679871,0.010039,9.689334,0.014331,-0.000564,0.000026
0.689842,0.009971,9.692925,0.017923,-0.000385,0.000022
0.699925,0.010083,9.676166,0.001163,-0.000374,0.000018
0.709835,0.009910,9.678560,0.003557,-0.000338,0.000015
0.719856,0.010021,9.682152,0.007149,-0.000267,0.000012
0.729960,0.010105,9.666589,-0.008414,-0.000352,0.000008
0.739894,0.009934,9.720459,0.045456,0.000100,0.000009
0.749896,0.010001,9.712079,0.037076,0.000471,0.000014
0.759885,0.009990,9.671378,-0.003625,0.000434,0.000018
0.769845,0.009960,9.670181,-0.004822,0.000386,0.000022
0.779908,0.010063,9.704896,0.029894,0.000687,0.000029
0.789864,0.009956,9.713276,0.038273,0.001068,0.000040
0.799931,0.010067,9.685743,0.010740,0.001176,0.000052
0.809849,0.009917,9.633070,-0.041933,0.000761,0.000059
0.819866,0.010018,9.692925,0.017923,0.000940,0.000069
0.829848,0.009982,9.690531,0.015528,0.001095,0.000080
0.839868,0.010020,9.668983,-0.006020,0.001035,0.000090
0.849918,0.010049,9.670181,-0.004822,0.000986,0.000100
0.859917,0.010000,9.658209,-0.016793,0.000818,0.000108
0.869798,0.009880,9.641450,-0.033553,0.000487,0.000113
0.879882,0.010084,9.677363,0.002360,0.000511,0.000118
0.889800,0.009918,9.643844,-0.031159,0.000202,0.000120
0.899968,0.010169,9.678560,0.003557,0.000238,0.000122
0.909895,0.009927,9.690531,0.015528,0.000392,0.000126
0.919967,0.010072,9.691728,0.016725,0.000560,0.000132
0.929788,0.009821,9.677363,0.002360,0.000584,0.000138
0.939982,0.010194,9.631873,-0.043130,0.000144,0.000139
0.949823,0.009841,9.674969,-0.000034,0.000144,0.000141
0.959938,0.010115,9.661801,-0.013202,0.000010,0.000141
0.969792,0.009854,9.680954,0.005951,0.000069,0.000141
0.979915,0.010123,9.676166,0.001163,0.000080,0.000142
0.989778,0.009863,9.667786,-0.007217,0.000009,0.000142
0.999932,0.010154,9.648633,-0.026370,-0.000258,0.000140
1.009816,0.009884,9.703699,0.028696,0.000025,0.000140
1.019936,0.010120,9.634267,-0.040735,-0.000387,0.000136
1.029786,0.009851,9.667786,-0.007217,-0.000458,0.000131
1.039914,0.010128,9.670181,-0.004822,-0.000507,0.000126
1.049869,0.009954,9.654618,-0.020385,-0.000710,0.000119
1.059875,0.010007,9.686940,0.011937,-0.000590,0.000113
1.069863,0.009988,9.661801,-0.013202,-0.000722,0.000106
1.079875,0.010012,9.677363,0.002360,-0.000699,0.000099
1.089797,0.009922,9.651027,-0.023976,-0.000937,0.000090
1.099965,0.010168,9.624691,-0.050312,-0.001448,0.000075
1.109809,0.009844,9.642647,-0.032356,-0.001767,0.000058
1.119962,0.010153,9.673772,-0.001231,-0.001779,0.000040
1.129816,0.009854,9.631873,-0.043130,-0.002204,0.000018
1.139954,0.010138,9.674969,-0.000034,-0.002204,-0.000004
1.149787,0.009833,9.713276,0.038273,-0.001828,-0.000022
1.159921,0.010134,9.659407,-0.015596,-0.001986,-0.000042
1.169794,0.009873,9.655815,-0.019188,-0.002176,-0.000064
1.179916,0.010122,9.666589,-0.008414,-0.002261,-0.000087
1.189813,0.009897,9.651027,-0.023976,-0.002498,-0.000112
1.199941,0.010128,9.722853,0.047850,-0.002013,-0.000132
